,Congress,Republicans,Democrats,Independents,Bills Introduced,Bills Introduced (HR),Bills Introduced (S),Bills Passed,Bills Passed (HR),Bills Passed (S),Bills Rejected
0,101,175,260,0,6312,5977,335,754,592,162,6
1,102,167,267,1,6574,6212,362,774,616,158,14
2,103,176,258,1,5568,5310,258,651,524,127,6
3,104,230,204,1,4570,4344,226,574,490,84,10
4,105,226,207,2,5182,4874,308,673,530,143,17
5,106,223,211,1,6056,5681,375,906,708,198,12
6,107,221,212,2,5980,5765,215,637,566,71,4
7,108,229,205,1,5809,5429,380,764,618,146,7
8,109,233,201,1,6769,6432,337,769,616,153,16
9,110,202,233,0,7548,7336,212,1083,943,140,14
10,111,178,257,0,6734,6562,172,837,722,115,17
11,112,242,193,0,6870,6723,147,567,491,76,14
12,113,234,201,0,6037,5885,152,655,581,74,4
13,114,247,188,0,6721,6526,195,888,773,115,7
14,115,241,194,0,7655,7394,261,1133,998,135,6
15,116,199,235,0,9324,9062,262,899,777,122,1
